审核项目名称,文件清单,文件路径,对应部门,通过标准,检测关键字,检测方式,调用模型,提示词,备注,父记录,需要修复
关企联系合作机制,历年关务任命书,一、内部控制标准/1.关企沟通联系合作/1-1 关企联系合作机制,人事,需要上传关企联系合作机制文件，AI检测第一页包括“关企联系工作”或“关企联系合作机制”即为通过,“关企联系工作”或“关企联系合作机制”,上传即为通过,,,,,否
岗位职责,组织架构图,一、内部控制标准/1.关企沟通联系合作/1-2 岗位职责,人事,上传即为通过,,上传即为通过,,,,,否
员工入职离职管理,公司员工手册,四、贸易安全标准/12.人员安全/12-38 员工入职离职管理,人事,上传包含入职、离职等管理制度的员工手册及流程文件，以及最新的员工清单文件，上传即为通过,,上传即为通过,,,,,否
员工入职离职管理,员工清单,四、贸易安全标准/12.人员安全/12-38 员工入职离职管理,人事,上传包含入职、离职等管理制度的员工手册及流程文件，以及最新的员工清单文件，上传即为通过,,上传即为通过,,,,,否
员工入职离职管理,员工入职离职流程,四、贸易安全标准/12.人员安全/12-38 员工入职离职管理,人事,上传包含入职、离职等管理制度的员工手册及流程文件，以及最新的员工清单文件，上传即为通过,,上传即为通过,,,,,否
新员工&安全敏感岗位背调,新进员工背调文件夹,四、贸易安全标准/12.人员安全/12-39 新员工&安全敏感岗位背调,人事,上传新入职员工背调信息表文件，以及安全敏感岗位员工的无犯罪记录证明，上传即通过,,上传即为通过,,,,,否
新员工&安全敏感岗位背调,敏感岗位无犯罪记录证明文件夹,四、贸易安全标准/12.人员安全/12-39 新员工&安全敏感岗位背调,人事,上传新入职员工背调信息表文件，以及安全敏感岗位员工的无犯罪记录证明，上传即通过,,上传即为通过,,,,,否
员工身份识别和离职员工取消授权,公司员工手册,四、贸易安全标准/12.人员安全/12-40 员工身份识别和离职员工取消授权,人事,上传包含对应要求的员工手册和离职交接记录抽查文件，上传即为通过,,上传即为通过,,,,,否
员工身份识别和离职员工取消授权,离职备忘&离职记录抽查文件夹,四、贸易安全标准/12.人员安全/12-40 员工身份识别和离职员工取消授权,人事,上传包含对应要求的员工手册和离职交接记录抽查文件，上传即为通过,,上传即为通过,,,,,否
访客进出登记管理,制度文件夹,四、贸易安全标准/12.人员安全/12-41 访客进出登记管理,人事,上传包含相关规定的仓库安全管理手册、员工手册制度文件，以及仓库来访登记记录抽查文件，上传即为通过,,上传即为通过,,,,,否
