check_name,description,full_path,relative_path,file_count,dept,check_type,check_text
关企沟通联系合作 、 关企联系合作机制,,关企沟通联系合作 、 关企联系合作机制,,0,单项标准,关键词检测,“关企联系工作”或“关企联系合作机制”
关企沟通联系合作 、 岗位职责,,关企沟通联系合作 、 岗位职责,,0,单项标准,关键词检测,“贸易安全”
进出口单证 、 进出口单证复核制度,,进出口单证 、 进出口单证复核制度,,0,单项标准,关键词检测,“单证复核流程”
进出口单证 、 进出口单证保管制度,,进出口单证 、 进出口单证保管制度,,0,单项标准,关键词检测,“单证归档”
进出口单证 、 禁止类产品合规审查制度,,进出口单证 、 禁止类产品合规审查制度,,0,单项标准,关键词检测,“HS CODE/原产国/MSDS/货物性质”、“安全准入”、“禁止类产品合规审查”
进出口单证 、 企业认证电子资料档案,,进出口单证 、 企业认证电子资料档案,,0,单项标准,上传即为通过,
信息系统 、 信息系统说明,,信息系统 、 信息系统说明,,0,单项标准,上传即为通过,
信息系统 、 系统数据的保管,,信息系统 、 系统数据的保管,,0,单项标准,上传即为通过,
信息系统 、 信息安全管理制度,,信息系统 、 信息安全管理制度,,0,单项标准,关键词检测,“信息安全管理”、“员工手册”
内部审计和改进 、 内部审计制度,,内部审计和改进 、 内部审计制度,,0,审计部,上传即为通过,
内部审计和改进 、 内审记录报告,,内部审计和改进 、 内审记录报告,,0,审计部,上传即为通过,
内部审计和改进 、 改进和责任追究机制,,内部审计和改进 、 改进和责任追究机制,,0,审计部,上传即为通过,
遵守法律法规 、 6-15-1 无犯罪记录管理层声明书,,遵守法律法规 、 6-15-1 无犯罪记录管理层声明书,,0,单项标准,AI内容理解,-
6-16&17&18 报关单行政处罚合规,,6-16&17&18 报关单行政处罚合规,,0,行政,AI内容理解,-
进出口记录 、 1年内进出口活动证明,,进出口记录 、 1年内进出口活动证明,,0,单项标准,上传即为通过,
财务状况 、 审计报告,,财务状况 、 审计报告,,0,财务,AI内容理解,-
财务状况 、 资产负债率情况,,财务状况 、 资产负债率情况,,0,财务,AI内容理解,-
经营场所安全 、 经营场所安全管理制度,,经营场所安全 、 经营场所安全管理制度,,0,单项标准,上传即为通过,
经营场所安全 、 经营场所建筑物,,经营场所安全 、 经营场所建筑物,,0,单项标准,上传即为通过,
经营场所安全 、 锁闭装置及钥匙保管,,经营场所安全 、 锁闭装置及钥匙保管,,0,单项标准,上传即为通过,
经营场所安全 、 照明,,经营场所安全 、 照明,,0,单项标准,上传即为通过,
经营场所安全 、 车辆和人员进出管理,,经营场所安全 、 车辆和人员进出管理,,0,单项标准,上传即为通过,
经营场所安全 、 单证存放和仓储区域受控管理,,经营场所安全 、 单证存放和仓储区域受控管理,,0,单项标准,上传即为通过,
经营场所安全 、 重要敏感区域视频监控,,经营场所安全 、 重要敏感区域视频监控,,0,单项标准,上传即为通过,
人员安全 、 员工入职离职管理,,人员安全 、 员工入职离职管理,,0,单项标准,上传即为通过,
人员安全 、 新员工&安全敏感岗位背调,,人员安全 、 新员工&安全敏感岗位背调,,0,单项标准,上传即为通过,
人员安全 、 员工身份识别和离职员工取消授权,,人员安全 、 员工身份识别和离职员工取消授权,,0,单项标准,上传即为通过,
人员安全 、 访客进出登记管理,,人员安全 、 访客进出登记管理,,0,单项标准,上传即为通过,
货物、物品安全 、 货物、物品安全管理制度,,货物、物品安全 、 货物、物品安全管理制度,,0,单项标准,上传即为通过,
货物、物品安全 、 集装箱七点检查法,,货物、物品安全 、 集装箱七点检查法,,0,单项标准,上传即为通过,
货物、物品安全 、 集装箱封条,,货物、物品安全 、 集装箱封条,,0,单项标准,上传即为通过,
货物、物品安全 、 集装箱存储制度,,货物、物品安全 、 集装箱存储制度,,0,单项标准,上传即为通过,
货物、物品安全 、 司机身份核实,,货物、物品安全 、 司机身份核实,,0,单项标准,上传即为通过,
货物、物品安全 、 装运和接收货物物品,,货物、物品安全 、 装运和接收货物物品,,0,单项标准,上传即为通过,
货物、物品安全 、 货物、物品差异及报告程序,,货物、物品安全 、 货物、物品差异及报告程序,,0,单项标准,上传即为通过,
货物、物品安全 、 出口安全制度,,货物、物品安全 、 出口安全制度,,0,单项标准,上传即为通过,
运输工具安全 、 运输工具安全管理制度,,运输工具安全 、 运输工具安全管理制度,,0,单项标准,上传即为通过,
运输工具安全 、 运输工具检查,,运输工具安全 、 运输工具检查,,0,单项标准,上传即为通过,
运输工具安全 、 运输工具存储制度,,运输工具安全 、 运输工具存储制度,,0,单项标准,上传即为通过,
运输工具安全 、 安全培训,,运输工具安全 、 安全培训,,0,单项标准,上传即为通过,
商业伙伴安全 、 商业伙伴安全管理制度,,商业伙伴安全 、 商业伙伴安全管理制度,,0,单项标准,上传即为通过,
商业伙伴安全 、 全面评估,,商业伙伴安全 、 全面评估,,0,单项标准,上传即为通过,
商业伙伴安全 、 优化贸易安全管理书面文件,,商业伙伴安全 、 优化贸易安全管理书面文件,,0,单项标准,上传即为通过,
商业伙伴安全 、 监控检查,,商业伙伴安全 、 监控检查,,0,单项标准,上传即为通过,
海关业务和贸易安全培训 、 法律法规和贸易安全内部培训制度,,海关业务和贸易安全培训 、 法律法规和贸易安全内部培训制度,,0,单项标准,上传即为通过,
海关业务和贸易安全培训 、 海关法律法规培训,,海关业务和贸易安全培训 、 海关法律法规培训,,0,单项标准,上传即为通过,
海关业务和贸易安全培训 、 货物安全培训,,海关业务和贸易安全培训 、 货物安全培训,,0,单项标准,上传即为通过,
